                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4377,                  2.299,                 1.5851,                0.18004,                0.32075,                0.13141,                0.04203,                 2.1622,                 3.4381,                 2.6697,             0.00065854,             0.00065854,             0.00065854
                      1,                  1.542,                 2.0005,                 1.6843,                0.22696,                0.29006,                0.15709,                0.05459,                 2.5639,                 3.4531,                 2.7874,              0.0013186,              0.0013186,              0.0013186
                      2,                 1.5847,                 1.7658,                 1.6994,                0.32804,                0.40738,                0.28477,                0.11249,                 1.8687,                 4.6791,                 2.2729,              0.0019722,              0.0019722,              0.0019722
                      3,                 1.5648,                  1.694,                 1.6765,                0.36045,                0.52744,                0.35292,                 0.1522,                 1.8986,                 2.5932,                 2.2585,              0.0019703,              0.0019703,              0.0019703
                      4,                 1.5374,                 1.6316,                 1.6584,                 0.4817,                0.50086,                0.42496,                0.19843,                 1.7738,                 2.0158,                 2.0741,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4953,                 1.6001,                 1.6378,                0.48561,                0.51372,                0.46101,                0.22127,                 1.7545,                 1.7403,                 2.0052,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.4696,                 1.5157,                 1.6073,                0.58455,                 0.5506,                0.55174,                0.26475,                 1.7205,                 1.6288,                 1.9839,              0.0019505,              0.0019505,              0.0019505
                      7,                  1.443,                 1.4769,                 1.5854,                0.56709,                0.60463,                0.57811,                0.32526,                 1.5154,                 1.5218,                 1.8044,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.4132,                 1.4662,                 1.5643,                0.59828,                0.65437,                0.59612,                0.33249,                 1.4407,                 1.3984,                  1.683,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.4044,                  1.428,                   1.56,                  0.596,                0.59863,                 0.5785,                0.32884,                 1.4718,                 1.5031,                 1.7341,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.3637,                 1.4109,                 1.5263,                0.58835,                 0.6458,                0.61026,                0.33623,                 1.5408,                 1.4927,                 1.8055,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.3608,                 1.3899,                 1.5341,                0.60391,                0.60805,                0.61507,                0.34746,                 1.4966,                  1.387,                 1.8005,               0.001901,               0.001901,               0.001901
                     12,                 1.3631,                 1.3423,                 1.5152,                0.58497,                0.64065,                0.60506,                 0.3485,                 1.4199,                 1.4081,                 1.6638,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.3387,                 1.3365,                 1.4978,                0.58794,                0.55557,                0.55533,                0.31273,                 1.5067,                 1.5305,                 1.7177,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.3058,                 1.3081,                 1.4766,                0.63314,                0.65865,                 0.6619,                0.38109,                 1.4279,                 1.2788,                 1.6902,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.2854,                 1.2802,                 1.4602,                0.68024,                 0.6681,                0.68859,                0.41954,                  1.349,                 1.2447,                 1.6215,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.2989,                 1.3172,                 1.4698,                0.65373,                0.65899,                0.69205,                0.41909,                 1.3769,                 1.2304,                 1.6154,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.2704,                 1.2397,                 1.4422,                0.64517,                0.68525,                0.68936,                0.42589,                 1.3411,                 1.2591,                 1.6216,              0.0018416,              0.0018416,              0.0018416
                     18,                  1.276,                 1.2311,                 1.4501,                0.67525,                 0.6964,                0.70691,                0.43488,                 1.3492,                 1.1635,                 1.6314,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.2611,                 1.2165,                 1.4467,                0.68782,                0.69468,                0.73397,                 0.4627,                 1.3195,                 1.1175,                 1.5725,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.2586,                 1.1842,                 1.4344,                0.70305,                0.70069,                 0.7444,                0.44952,                 1.3825,                  1.156,                 1.6346,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.2539,                 1.1769,                 1.4333,                0.68493,                0.69914,                0.70796,                0.43245,                 1.3468,                 1.1872,                  1.603,               0.001802,               0.001802,               0.001802
                     22,                 1.2382,                   1.15,                  1.427,                0.70128,                0.71269,                0.73441,                0.47132,                 1.2891,                 1.0891,                 1.5559,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.2295,                 1.1832,                 1.4257,                 0.7222,                0.67324,                0.73136,                0.45803,                 1.3179,                  1.143,                 1.5889,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.2094,                 1.1236,                 1.3896,                0.71103,                0.69039,                0.74136,                 0.4703,                  1.296,                 1.1185,                 1.5542,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.2195,                 1.1395,                 1.4122,                0.72999,                0.73039,                0.76656,                0.46924,                 1.3252,                   1.06,                  1.598,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.2038,                 1.1058,                 1.4043,                 0.6935,                0.72576,                0.76119,                0.47222,                 1.3387,                 1.0543,                 1.5684,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.2002,                 1.0879,                 1.4002,                0.71312,                 0.6801,                0.73892,                0.47208,                 1.2926,                 1.1037,                 1.5322,              0.0017426,              0.0017426,              0.0017426
                     28,                  1.197,                 1.1632,                 1.3717,                0.74339,                0.65609,                0.72395,                0.45137,                 1.3169,                 1.1457,                 1.5653,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.2127,                 1.0866,                 1.3922,                0.72855,                0.72213,                 0.7705,                 0.4955,                 1.2912,                 1.0304,                 1.5452,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.1946,                 1.0848,                 1.3847,                0.71954,                0.72384,                0.75665,                0.49436,                 1.2502,                 1.0222,                 1.5272,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.1904,                 1.0499,                 1.3753,                0.70919,                0.74014,                0.76745,                0.49399,                 1.2738,                 1.0105,                 1.5166,               0.001703,               0.001703,               0.001703
                     32,                 1.1718,                 1.0371,                  1.374,                0.71966,                0.74443,                 0.7726,                 0.5002,                 1.2662,                 1.0013,                 1.5157,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.1799,                 1.0422,                 1.3685,                   0.74,                0.72253,                0.76648,                0.48446,                 1.3208,                 1.0029,                  1.554,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.1768,                  1.025,                 1.3667,                0.71962,                0.69897,                0.75109,                0.45923,                 1.3871,                 1.0866,                 1.5993,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.1712,                 1.0322,                 1.3642,                0.67621,                 0.7187,                0.73621,                0.46978,                 1.2951,                 1.1257,                 1.5383,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.1412,                 1.0027,                 1.3408,                0.76319,                0.72415,                0.78102,                0.50893,                 1.2692,                0.98511,                 1.5133,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.1599,                0.97958,                 1.3511,                0.79075,                0.72596,                0.79826,                0.51805,                 1.2681,                 0.9636,                 1.5103,              0.0016436,              0.0016436,              0.0016436
